id,name,link,immunity_condition,immunity_damage,def,hits,habitat,exp,speed,resist,saving,debility,languages,feels,skill_bonus,source,strength,dexterity,constitution,intelligence,wisdom,charisma,brief_inf
1755,Носящий пурпур Северин [Severin],https://dnd.su/bestiary/486-severin/,"отравление?, очарование?, испуг?",огонь,16,150 (20к8 + 60) ,,11 (7200 опыта),30 футов,"кислота, холод, электричество, яд; дробящий, колющий, рубящий","Лов +5, Мдр +5",,"Общий, Драконий, Инфернальный","тёмное зрение? 60 футов, пассивное Восприятие 11",+4 ,«The Rise of Tiamat»,"[10, 0]","[13, 1]","[16, 3]","[17, 3]","[12, 1]","[20, 5]","Средний? Гуманоид (человек), нейтрально-злой, именной НИП"
1756,Нэйргот лорд Клинков [Naergoth bladelord],https://dnd.su/bestiary/488-naergoth-bladelord/,"отравление?, истощение?",яд,18,135 (18к8 + 54) ,,11 (7200 опыта),30 футов,"некротическая энергия; дробящий, колющий, рубящий от немагических атак, кроме нанесённых посеребрённым оружием","Лов +5, Мдр +6",,"Общий, Драконий","тёмное зрение? 60 футов, пассивное Восприятие 16",+4 ,«The Rise of Tiamat»,"[20, 5]","[12, 1]","[16, 3]","[12, 1]","[14, 2]","[16, 3]","Средняя? Нежить, нейтрально-злая"
1757,Нестер [Nester],https://dnd.su/bestiary/6204-nester/,,,12,99 (18к8 + 18) ,,12 (8400 опыта),30 футов,"дробящий, колющий, рубящий от немагических атак","Инт +9, Мдр +6",,"понимает Общий, Ауран, Великаний, Дварфийский, Драконий, Терран, но не может говорить . Для общения он использует заклинание ментальная связь Рэри.","тёмное зрение? 60 футов, пассивное Восприятие 12",+4 ,«Waterdeep: Dungeon of the Mad Mage»,"[10, 0]","[14, 2]","[12, 1]","[20, 5]","[15, 2]","[16, 3]","Средняя? Нежить, хаотично-злая, именной НИП"
1758,Нальфешни [Nalfeshnee],https://dnd.su/bestiary/72-nalfeshnee/,отравление?,яд,18,184 (16к10 + 96) ,,13 (10 000 опыта),"20 футов, летая 30 футов","огонь, холод, электричество; дробящий, колющий, рубящий от немагических атак","Тел +11, Инт +9, Мдр +6, Хар +7",,"Бездны, Телепатия 120 фт.","истинное зрение? 120 футов, пассивное Восприятие 11",+5 ,«Monster manual»,"[21, 5]","[10, 0]","[22, 6]","[19, 4]","[12, 1]","[15, 2]","Большое? Исчадие (демон), хаотично-злое"
1759,Нарзугон [Narzugon],https://dnd.su/bestiary/6875-narzugon/,"отравление?, очарование?, испуг?","огонь, яд",20,112 (15к8 + 45) ,,13 (10 000 опыта),30 футов,"кислота, холод; дробящий, колющий, рубящий от немагических атак, кроме нанесённых посеребрённым оружием","Лов +5, Тел +8, Хар +9",,"Общий, Инфернальный, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 22",+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[20, 5]","[10, 0]","[17, 3]","[16, 3]","[14, 2]","[19, 4]","Среднее? Исчадие (дьявол), обычно законно-злое"
1760,Небесный пловец [Skyswimmer],https://dnd.su/bestiary/17283-skyswimmer/,,,18,216 (16к20 + 48) ,,13 (10 000 опыта),"10 футов, летая 60 футов",,Тел +8,,,пассивное Восприятие 16,+5 ,«Guildmasters' guide to Ravnica»,"[23, 6]","[15, 2]","[16, 3]","[7, -2]","[12, 1]","[6, -2]","Громадный? Монстр, без мировоззрения"
1761,Неотелид [Neothelid],https://dnd.su/bestiary/6879-neothelid/,,,16,232 (15к20 + 75) ,подземье,13 (10 000 опыта),30 футов,,"Инт +1, Мдр +8, Хар +6",,,"слепое зрение? 120 футов (слеп за его пределами), пассивное Восприятие 13",+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[27, 8]","[7, -2]","[21, 5]","[3, -4]","[16, 3]","[12, 1]","Громадная? Аберрация, обычно хаотично-злая"
1762,Ним [Nym],https://dnd.su/bestiary/7763-nym/,,"звук, электричество",12,230 (20к12 + 100) ,,13 (10 000 опыта),"50 футов, плавая 50 футов",холод,"Сил +14, Тел +10, Мдр +9, Хар +9",,"Общий, Великаний",пассивное Восприятие 19,+5 ,«Storm King's Thunder»,"[29, 9]","[14, 2]","[20, 5]","[16, 3]","[18, 4]","[18, 4]","Огромный? Великан, нейтрально-злой, именной НИП"
1763,Набассу [Nabassu],https://dnd.su/bestiary/6847-nabassu/,отравление?,яд,18,190 (20к8 + 100) ,"болото, город, подземье",15 (13 000 опыта),"40 футов, летая 60 футов","огонь, холод, электричество; дробящий, колющий, рубящий от немагических атак","Сил +11, Лов +7",,"Бездны, Телепатия 120 фт.","тёмное зрение? 60 футов, пассивное Восприятие 17",+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[22, 6]","[14, 2]","[21, 5]","[14, 2]","[15, 2]","[17, 3]","Среднее? Исчадие (демон), обычно хаотично-злое"
1764,Нинтра Сиотта [Nintra Siotta],https://dnd.su/bestiary/5060-nintra-siotta/,"очарование?, ошеломление?, истощение?",,17,306 (36к10 + 108) ,,16 (15 000 опыта),"40 футов, летая 40 футов (парит)",,"Сил +8, Лов +12, Мдр +7",,"Общий, Сильван, Эльфийский","истинное зрение? 60 футов, пассивное Восприятие 17",+5 ,«Candlekeep Mysteries»,"[16, 3]","[24, 7]","[16, 3]","[17, 3]","[15, 2]","[24, 7]","Большая? Фея, хаотично-злая, именной НИП"
1765,Нагпа [Nagpa],https://dnd.su/bestiary/6848-nagpa/,,,19,203 (37к8 + 37) ,"болото, город, лес, побережье, подземье, пустыня",17 (18 000 опыта),30 футов,,"Инт +12, Мдр +10, Хар +11",,"Общий, 5 любых других языков","истинное зрение? 120 футов, пассивное Восприятие 20",+6 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[9, -1]","[15, 2]","[12, 1]","[23, 6]","[18, 4]","[21, 5]","Средний? Монстр (волшебник), обычно нейтрально-злой"
1766,Ночной ходок [Nightwalker],https://dnd.su/bestiary/6880-nightwalker/,"окаменение?, опутанность?, отравление?, сбивание с ног?, захват?, паралич?, испуг?, истощение?","некротическая энергия, яд",14,337 (25к12 + 175) ,"арктика, болото, подземье, пустыня",20 (25 000 опыта),"40 футов, летая 40 футов","звук, кислота, огонь, холод, электричество; дробящий, колющий, рубящий от немагических атак",Тел +13,,,"тёмное зрение? 120 футов, пассивное Восприятие 9",+6 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[22, 6]","[19, 4]","[24, 7]","[6, -2]","[9, -1]","[8, -1]","Огромная? Нежить, обычно хаотично-злая"
1767,Незримо присутствующий [Veiled Presence],https://dnd.su/bestiary/13237-veiled-presence/,"испуг?, очарование?",,20,300 (40к8 + 120) ,,21 (33 000 опыта),"40 футов, летая 80 футов (парит)","излучение, некротическая энергия","Лов +14, Инт +14",,Все,"слепое зрение? 30 футов, пассивное Восприятие 22",+7 ,«The Book of Many Things»,"[14, 2]","[24, 7]","[16, 3]","[24, 7]","[20, 5]","[22, 6]","Маленький? или Средний? Небожитель, законно-злой"
1768,Нафаз [Nafas],https://dnd.su/bestiary/17227-nafas/,"испуг?, отравление?, очарование?","звук, электричество",19,350 (28к10 + 196) ,,23 (50 000 опыта),"30 футов, летая 90 футов (парит)","яд; дробящий, колющий, рубящий от немагических атак","Лов +11, Мдр +11, Хар +13",,"Общий, Ауран","истинное зрение? 120 футов, пассивное Восприятие 21",+7 ,«Quest from the Infinite Staircase»,"[23, 6]","[18, 4]","[24, 7]","[15, 2]","[18, 4]","[23, 6]","Большой? Элементаль, хаотично-добрый, именной НИП"
1769,Неожиданность [Windfall],https://dnd.su/bestiary/15730-windfall/,"испуг?, очарование?",,19,323 (34к8 + 170) ,,23 (50 000 опыта),"30 футов, летая 30 футов","звук, кислота, огонь, холод, электричество","Сил +9, Лов +14, Мдр +11, Хар +15",,"Общий, Драконий, Инфернальный","тёмное зрение? 60 футов, пассивное Восприятие 21",+7 ,«Vecna: Eve of Ruin»,"[14, 2]","[24, 7]","[20, 5]","[22, 6]","[18, 4]","[26, 8]","Средний? Гуманоид (Тифлинг, Бард), хаотично-злой, именной НИП"
1770,Нив-Миззет [Niv-Mizzet],https://dnd.su/bestiary/8150-niv-mizzet/,очарование?,"огонь, электричество",22,370 (19к20 + 171) ,,26 (90 000 опыта),"40 футов, летая 80 футов, лазая 30 футов","звук, психическая энергия, холод","Тел +17, Инт +18, Мдр +11",,"Общий, Драконий","слепое зрение? 60 футов, тёмное зрение? 120 футов, пассивное Восприятие 21",+8 ,«Guildmasters' guide to Ravnica»,"[29, 9]","[14, 2]","[29, 9]","[30, 10]","[17, 3]","[25, 7]","Громадный? Дракон, хаотично-нейтральный, именной НИП"
1771,Небесный зверь [Beast of the Sky],https://dnd.su/bestiary/4313-beast-of-the-sky/,,,13,4 + четырехкратный уровень следопыта (количество костей хитов (к6) зверя равно вашему уровню следопыта),,,"10 футов, летая 60 футов",,,,"понимает языки, на которых вы говорите","тёмное зрение? 60 футов, пассивное Восприятие 12",равен вашему бонусу,«Tasha's Cauldron of Everything»,"[6, -2]","[16, 3]","[13, 1]","[8, -1]","[14, 2]","[11, 0]","Маленький? Зверь, без мировоззрения"
1772,Образ смерти [Avatar of Death],https://dnd.su/bestiary/867-avatar-of-death/,"окаменение?, отравление?, паралич?, очарование?, испуг?, бессознательность?","некротическая энергия, яд",20,половина от максимума хитов вызвавшего его персонажа,,— (0 опыта),"60 футов, летая 60 футов (парит)",,,,"все, известные вызвавшему персонажу","истинное зрение? 60 футов, тёмное зрение? 60 футов, пассивное Восприятие 13",+2 ,«Dungeon master's guide»,"[16, 3]","[16, 3]","[16, 3]","[16, 3]","[16, 3]","[16, 3]","Средняя? Нежить, нейтрально-злая"
1773,Обыватель [Commoner],https://dnd.su/bestiary/18-commoner/,,,10,4 (1к8) ,"арктика, город, лес, луг, побережье, пустыня, холмы",0 (0 или 10 опыта),30 футов,,,,Общий,пассивное Восприятие 10,+2 ,«Monster manual»,"[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","Средний? Гуманоид (любая раса), любое мировоззрение"
1774,Обыватель Баровии [Barovian Commoner],https://dnd.su/bestiary/4684-barovian-commoner/,,,10,4 (1к8) ,,0 (0 или 10 опыта),30 футов,,,,Общий,пассивное Восприятие 10,+2 ,«Curse of Strahd»,"[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","Средний? Гуманоид (Любая раса), любое мировоззрение"
1775,Обыватель Вистани [Vistana Commoner],https://dnd.su/bestiary/4807-vistana-commoner/,,,10,4 (1к8) ,,0 (0 или 10 опыта),30 футов,,,,Общий,пассивное Восприятие 10,+2 ,«Curse of Strahd»,"[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","Средний? Гуманоид (любая раса), любое мировоззрение"
1776,Обыватель конструкт [Constructed Commoner],https://dnd.su/bestiary/5016-constructed-commoner/,"отравление?, истощение?",яд,15,6 (1к8 + 2) ,,0 (0 или 10 опыта),25 футов,,,,Общий,пассивное Восприятие 10,+2 ,«Candlekeep Mysteries»,"[10, 0]","[10, 0]","[15, 2]","[10, 0]","[10, 0]","[10, 0]",Средний? Конструкт
1777,Овца [Sheep],https://dnd.su/bestiary/7740-sheep/,,,10,3 (1к6) ,,0 (0 или 10 опыта),30 футов,,,,,пассивное Восприятие 10,+2 ,«Storm King's Thunder»,"[12, 1]","[10, 0]","[11, 0]","[2, -4]","[10, 0]","[5, -3]","Маленький? Зверь, без мировоззрения"
1778,Огрек Брайтхелм [Augrek Brighthelm],https://dnd.su/bestiary/7780-augrek-brighthelm/,,,15,13 (2к8 + 4) ,,0 (0 или 10 опыта),25 футов,яд,,,"Общий, Дварфийский","тёмное зрение? 60 футов, пассивное Восприятие 16",+2 ,«Storm King's Thunder»,"[14, 2]","[11, 0]","[15, 2]","[10, 0]","[11, 0]","[11, 0]","Средний? Гуманоид (щитовая дварфийка), законно-добрый, именной НИП"
1779,Оживлённая волшебная палочка [Animated Wand],https://dnd.su/bestiary/6123-animated-wand/,,,18,20 (10к4 - 5) ,,—,30 футов,,,,,"слепое зрение? 30 футов (слеп за его пределами), пассивное Восприятие 6",+2 ,«Waterdeep: Dungeon of the Mad Mage»,"[4, -3]","[18, 4]","[10, 0]","[3, -4]","[3, -4]","[1, -5]","Крошечный? Конструкт, без мировоззрения"
1780,Оживлённый демиплан [Living Demiplane],https://dnd.su/bestiary/5748-living-demiplane/,"бессознательность?, глухота?, испуг?, истощение?, окаменение?, ослепление?, отравление?, очарование?, паралич?",яд,10,31 (7к8) ,,0 (0 или 10 опыта),"30 футов, лазая 30 футов",,"Лов +2, Мдр +2",,,"тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Icewind Dale: Rime of the Frostmaiden»,"[1, -5]","[10, 0]","[10, 0]","[1, -5]","[10, 0]","[1, -5]","Средний? Конструкт, без мировоззрения"
1781,Оживлённый посох [Animated Staff],https://dnd.su/bestiary/6119-animated-staff/,,яд,17,40 (12к6 - 2) ,,—,"0 футов, летая 30 футов (парит)",холод,,,Общий,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 12",+2 ,«Waterdeep: Dungeon of the Mad Mage»,"[12, 1]","[12, 1]","[10, 0]","[18, 4]","[14, 2]","[10, 0]","Средний? Конструкт, нейтрально-злой"
1782,Оживший невидимый слуга [Living Unseen Servant],https://dnd.su/bestiary/5384-living-unseen-servant/,"окаменение?, отравление?, паралич?, истощение?, бессознательность?",яд,10,4 (1к8) ,,0 (0 или 10 опыта),30 футов,,,,Общий,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 12",+2 ,«Waterdeep: Dungeon of the Mad Mage»,"[2, -4]","[10, 0]","[11, 0]","[1, -5]","[10, 0]","[1, -5]","Средний? Конструкт, без мировоззрения"
1783,Олень [Deer],https://dnd.su/bestiary/387-deer/,,,13,4 (1к8) ,"лес, луг",0 (0 или 10 опыта),50 футов,,,,,пассивное Восприятие 12,+2 ,«Monster manual»,"[11, 0]","[16, 3]","[11, 0]","[2, -4]","[14, 2]","[5, -3]","Средний? Зверь, без мировоззрения"
1784,Оникс [Onyx],https://dnd.su/bestiary/8511-onyx/,,,12,2 (1к4) ,"город, лес, луг, пустыня",0 (0 или 10 опыта),"400 футов, лазая 200 футов",,,,,пассивное Восприятие 13,+2 ,«Acquisition Incorporated»,"[3, -4]","[15, 2]","[10, 0]","[3, -4]","[12, 1]","[7, -2]","Огромный? Зверь, без мировоззрения, именной НИП"
1785,Орел [Eagle],https://dnd.su/bestiary/388-eagle/,,,12,3 (1к6) ,"горы, лес, побережье, холмы",0 (0 или 10 опыта),"10 футов, летая 60 футов",,,,,пассивное Восприятие 14,+2 ,«Monster manual»,"[6, -2]","[15, 2]","[10, 0]","[2, -4]","[14, 2]","[7, -2]","Маленький? Зверь, без мировоззрения"
1786,Орен Йогильви [Oren Yogilvy],https://dnd.su/bestiary/7781-oren-yogilvy/,,,11,9 (2к6 + 2) ,,0 (0 или 10 опыта),25 футов,яд,,,"Общий, Полуросликов",пассивное Восприятие 12,+2 ,«Storm King's Thunder»,"[8, -1]","[13, 1]","[12, 1]","[11, 0]","[10, 0]","[16, 3]","Маленький? Гуманоид (сильный сердцем халфлинг), хаотично-добрый, именной НИП"
1787,Осьминог [Octopus],https://dnd.su/bestiary/389-octopus/,,,12,3 (1к6) ,,0 (0 или 10 опыта),"5 футов, плавая 30 футов",,,,,"тёмное зрение? 30 футов, пассивное Восприятие 12",+2 ,«Monster manual»,"[4, -3]","[15, 2]","[11, 0]","[3, -4]","[10, 0]","[4, -3]","Маленький? Зверь, без мировоззрения"
1788,Отовир [Othovir],https://dnd.su/bestiary/7782-othovir/,,,10,16 (3к8 + 3) ,,0 (0 или 10 опыта),30 футов,,,,"Общий, Эльфийский",пассивное Восприятие 12,+2 ,«Storm King's Thunder»,"[11, 0]","[10, 0]","[13, 1]","[12, 1]","[14, 2]","[16, 3]","Средний? Гуманоид (человек иллусканец), законно-нейтральный, именной НИП"
1789,Орок [Orok],https://dnd.su/bestiary/7730-orok/,,,12,5 (2к6 - 2) ,,1/8 (25 опыта),30 футов,,,,"Общий, Бохти",пассивное Восприятие 8,+2 ,«Storm King's Thunder»,"[7, -2]","[15, 2]","[9, -1]","[8, -1]","[7, -2]","[8, -1]","Маленький? Гуманоид (человек), хаотично-нейтральный, именной НИП"
1790,Оронд Гролхунд [Orond Gralhund],https://dnd.su/bestiary/5347-orond-gralhund/,,,15,9 (2к8) ,,1/8 (25 опыта),30 футов,,,,Общий,пассивное Восприятие 12,+2 ,«Waterdeep: Dragon Heist»,"[11, 0]","[12, 1]","[11, 0]","[9, -1]","[14, 2]","[16, 3]","Средний? Гуманоид (человек), нейтрально-злой, именной НИП"
1791,Отт Стилтоз [Ott Steeltoes],https://dnd.su/bestiary/5349-ott-steeltoes/,,,12,9 (2к8) ,,1/8 (25 опыта),25 футов,яд,,,"Общий, Дварфийский","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Waterdeep: Dragon Heist»,"[11, 0]","[12, 1]","[10, 0]","[6, -2]","[11, 0]","[10, 0]","Средний? Гуманоид (щитовой дварф), хаотично-злой, именной НИП"
1792,Охотник на акул [Shark hunter],https://dnd.su/bestiary/7435-shark-hunter/,,,12,11 (2к8 + 2) ,"арктика, болото, горы, лес, луг, подземье, побережье, пустыня, холмы",1/8 (25 опыта),30 футов,,,,,пассивное Восприятие 10,+2 ,«Explorer's Guide to Wildemount»,"[13, 1]","[11, 0]","[12, 1]","[8, -1]","[11, 0]","[8, -1]","Средний? Гуманоид (любая раса), любое мировоззрение"
1793,Оживлённая алебарда [Animated Halberd],https://dnd.su/bestiary/4677-animated-halberd/,"очарование?, паралич?, отравление?, ослепление?, окаменение?, испуг?, глухота?","психическая энергия, яд",15,17 (5к6) ,,1/4 (50 опыта),"0 футов, летая 50 футов (парит)",,Лов +4,,,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 7",+2 ,«Curse of Strahd»,"[12, 1]","[15, 2]","[11, 0]","[1, -5]","[5, -3]","[1, -5]","Маленький? Конструкт, без мировоззрения"
1794,Оживлённая метла [Animated Broom],https://dnd.su/bestiary/5010-animated-broom/,"окаменение?, ослепление?, отравление?, сбивание с ног?, паралич?, очарование?, глухота?, испуг?, истощение?","психическая энергия, яд",15,17 (5к6) ,,1/4 (50 опыта),"0 футов, летая 50 футов (парит)",,,,,"слепое зрение? 120 футов (слеп за его пределами), пассивное Восприятие 7",+2 ,«Candlekeep Mysteries»,"[10, 0]","[17, 3]","[10, 0]","[1, -5]","[5, -3]","[1, -5]",Маленький? Конструкт
1795,Оживлённая метла атаки [Broom of Animated Attack],https://dnd.su/bestiary/953-broom-of-animated-attack/,"окаменение?, опутанность?, ослепление?, отравление?, сбивание с ног?, паралич?, очарование?, глухота?, испуг?, истощение?","психическая энергия, яд",15,17 (5к6) ,,1/4 (50 опыта),"0 футов, летая 50 футов (парение)",,,,,"слепое зрение? 30 футов, пассивное Восприятие 7",+2 ,«Curse of Strahd»,"[10, 0]","[17, 3]","[10, 0]","[1, -5]","[5, -3]","[1, -5]","Маленький? Конструкт, без мировоззрения"
1796,Оживлённый нож [Animated Knife],https://dnd.su/bestiary/7447-animated-knife/,"очарование?, паралич?, отравление?, ослепление?, окаменение?, испуг?, глухота?","психическая энергия, яд",17,12 (5к4) ,,1/4 (50 опыта),"0 футов, летая 50 футов (парит)",,Лов +4,,,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 7",+2 ,«Explorer's Guide to Wildemount»,"[12, 1]","[15, 2]","[11, 0]","[1, -5]","[5, -3]","[1, -5]","Маленький? Конструкт, без мировоззрения"
1797,Отто Белвью [Otto Belview],https://dnd.su/bestiary/4775-otto-belview/,,,11,26 (4к8 + 8) ,,1/4 (50 опыта),20 футов,,,,Общий,пассивное Восприятие 12,+2 ,«Curse of Strahd»,"[12, 1]","[9, -1]","[15, 2]","[9, -1]","[10, 0]","[6, -2]","Средний? Гуманоид (полукровка), любое мировоззрение, именной НИП"
1798,Огненный страж [Scorchbringer Guard ],https://dnd.su/bestiary/17317-scorchbringer-guard/,,,16,11 (2к8 + 2) ,,1/2 (100 опыта),30 футов,,,,один любой язык (обычно Общий),пассивное Восприятие 9,+2 ,«Fizban's Treasury of Dragons»,"[13, 1]","[14, 2]","[12, 1]","[10, 0]","[9, -1]","[10, 0]","Средний? Гуманоид (любая раса), хаотично-нейтральный"
1799,Огненный тритон воин [Firenewt warrior],https://dnd.su/bestiary/6749-firenewt-warrior/,,огонь,13,27 (5к8 + 5) ,"горы, подземье, пустыня, холмы",1/2 (100 опыта),30 футов,,,,"Драконий, Игнан",пассивное Восприятие 10,+2 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[10, 0]","[13, 1]","[12, 1]","[7, -2]","[11, 0]","[8, -1]","Средний? Элементаль, обычно нейтрально-злой"
1800,Одуванчик Амидор [Amidor the Dandelion],https://dnd.su/bestiary/8437-amidor-the-dandelion/,,,12,28 (8к6) ,,1/2 (100 опыта),30 футов,,"Сил +0, Лов +4, Тел +2, Мдр +3",,"Общий, Сильван",пассивное Восприятие 13,+2 ,«The Wild Beyond The Witchlight: A Feywild Adventure»,"[6, -2]","[15, 2]","[10, 0]","[13, 1]","[12, 1]","[17, 3]","Маленькое? Растение, нейтрально-доброе, именной НИП"
1801,Океанус [Oceanus],https://dnd.su/bestiary/7566-oceanus/,,,12,30 (4к8 + 12) ,,1/2 (100 опыта),"30 футов, плавая 30 футов",,Тел +5,,"Акван, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 13",+2 ,«Ghosts of Saltmarsh»,"[15, 2]","[12, 1]","[16, 3]","[11, 0]","[12, 1]","[10, 0]","Средний? Гуманоид (эльф), нейтрально-добрый, именной НИП"
1802,Олара [Olara],https://dnd.su/bestiary/7879-olara/,,,13,16 (3к8 + 3) ,,1/2 (100 опыта),"30 футов, плавая 30 футов",холод,,,Все,"тёмное зрение? 60 футов, пассивное Восприятие 15",+2 ,«Critical Role: Call of the Netherdeep»,"[11, 0]","[14, 2]","[12, 1]","[11, 0]","[13, 1]","[11, 0]","Средний? Гуманоид, нейтрально-добрый, именной НИП"
1803,Орк [Orc],https://dnd.su/bestiary/20-orc/,,,13,15 (2к8 + 6) ,"арктика, болото, горы, лес, луг, подземье, холмы",1/2 (100 опыта),30 футов,,,,"Общий, Орочий","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Monster manual»,"[16, 3]","[12, 1]","[16, 3]","[7, -2]","[11, 0]","[10, 0]","Средний? Гуманоид (орк), хаотично-злой"
1804,Орк вскормленный Юртруса [Orc nurtured one of Yurtrus],https://dnd.su/bestiary/569-orc-nurtured-one-of-yurtrus/,,,9,30 (4к8 + 12) ,"горы, лес, луг, подземье, холмы",1/2 (100 опыта),30 футов,,,,"Общий, Орочий","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Volo's guide to monsters»,"[15, 2]","[8, -1]","[16, 3]","[7, -2]","[11, 0]","[7, -2]","Средний? Гуманоид (орк), хаотично-злой"
1805,Отсечённая тень [Detached Shadow],https://dnd.su/bestiary/8387-detached-shadow/,"сбивание с ног?, паралич?, отравление?, опутанность?, окаменение?, истощение?, испуг?, захват?","некротическая энергия, яд",12,16 (3к8 + 3) ,"город, подземье",1/2 (100 опыта),40 футов,"звук, кислота, огонь, холод, электричество; дробящий, колющий, рубящий от немагических атак",,излучение,,"тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«The Wild Beyond The Witchlight: A Feywild Adventure»,"[6, -2]","[14, 2]","[13, 1]","[6, -2]","[10, 0]","[8, -1]","Средняя? Фея, хаотично-злая"
1806,Охотничий дрейк [Ambush Drake],https://dnd.su/bestiary/1257-ambush-drake/,,,13,22 (4к6 + 8) ,,1/2 (100 опыта),30 футов,яд,,,Драконий,тёмное зрение? 60 футов,+2 ,«Hoard of the Dragon Queen»,"[13, 1]","[15, 2]","[14, 2]","[4, -3]","[11, 0]","[6, -2]","Средний? Дракон, без мировоззрения"
1807,Огненная змея [Fire snake],https://dnd.su/bestiary/279-fire-snake/,,огонь,14,22 (5к8) ,подземье,1 (200 опыта),30 футов,"дробящий, колющий, рубящий от немагических атак",,холод,Игнан,"тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Monster manual»,"[12, 1]","[14, 2]","[11, 0]","[7, -2]","[10, 0]","[8, -1]","Средний? Элементаль, нейтрально-злой"
1808,Огненный тритон колдун Имикса [Firenewt warlock of Imix],https://dnd.su/bestiary/6748-firenewt-warlock-of-imix/,,огонь,10,33 (6к8 + 6) ,"горы, подземье, пустыня, холмы",1 (200 опыта),30 футов,,,,"Драконий, Игнан","тёмное зрение? 120 футов, пассивное Восприятие 10",+2 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[13, 1]","[11, 0]","[12, 1]","[9, -1]","[11, 0]","[14, 2]","Средний? Элементаль, обычно нейтрально-злой"
1809,Оживлённая окованная библиотека [Animated Chained Library],https://dnd.su/bestiary/5011-animated-chained-library/,"окаменение?, ослепление?, отравление?, сбивание с ног?, паралич?, очарование?, глухота?, испуг?, истощение?","психическая энергия, яд",14,45 (6к10 + 12) ,,1 (200 опыта),10 футов,,,,,"слепое зрение? 30 футов (слеп за его пределами), пассивное Восприятие 7",+2 ,«Candlekeep Mysteries»,"[15, 2]","[8, -1]","[14, 2]","[1, -5]","[5, -3]","[1, -5]",Большой? Конструкт
1810,Оживлённая статуя дроу [Animated Drow Statue],https://dnd.su/bestiary/5824-animated-drow-statue/,"паралич?, очарование?, отравление?, ослепление?, окаменение?, истощение?, испуг?, глухота?","психическая энергия, яд",18,33 (6к8 + 6) ,,1 (200 опыта),25 футов,,,,,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 6",+2 ,«Out of the Abyss»,"[14, 2]","[11, 0]","[13, 1]","[1, -5]","[3, -4]","[1, -5]","Средний? Элементаль, без мировоззрения"
1811,Оживлённая стеклянная статуя [Animated Glass Statue],https://dnd.su/bestiary/7874-animated-glass-statue/,"испуг?, истощение?, окаменение?, отравление?, очарование?, паралич?",,10,22 (3к10 + 6) ,,1 (200 опыта),"10 футов, летая 60 футов",,,,Общий,"тёмное зрение? 60 футов, пассивное Восприятие 13",+2 ,«Critical Role: Call of the Netherdeep»,"[15, 2]","[10, 0]","[15, 2]","[6, -2]","[12, 1]","[7, -2]","Большой? Конструкт, нейтрально-злой"
1812,Оживлённый доспех [Animated armor],https://dnd.su/bestiary/35-animated-armor/,"паралич?, очарование?, отравление?, ослепление?, окаменение?, истощение?, испуг?, глухота?","психическая энергия, яд",18,33 (6к8 + 6) ,,1 (200 опыта),25 футов,,,,,"слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 6",+2 ,«Monster manual»,"[14, 2]","[11, 0]","[13, 1]","[1, -5]","[3, -4]","[1, -5]","Средний? Конструкт, без мировоззрения"
1813,Ожившие огненные ладони [Living Burning Hands],https://dnd.su/bestiary/4982-living-burning-hands/,"ослепление?, отравление?, сбивание с ног?, захват?, очарование?, глухота?, испуг?, истощение?",огонь,15,15 (2к8 + 6) ,,1 (200 опыта),"25 футов, летая 25 футов","дробящий, колющий, рубящий от немагических атак",,,,"тёмное зрение? 60 футов, пассивное Восприятие 8",+2 ,«Eberron: Rising from the Last War»,"[10, 0]","[12, 1]","[16, 3]","[3, -4]","[6, -2]","[6, -2]","Средний? Конструкт, без мировоззрения"
